time,type,sellToken,sellTokenAmount,buyToken,buyTokenAmount,utilityToken,utilityTokenAmount,utilityTokenTotalSupply,balanceOfBaseToken,balanceOfTargetToken,owner,exchangeRate
1661752670.777786,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,333333333333333333
1661752749.882253,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,333333333333333333
1661752804.342322,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661752897.189839,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,10000000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,1000000000000000000
1661752897.216189,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,10000000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,1000000000000000000
1661752971.852346,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,1000000000000000000
1661752971.871516,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,1000000000000000000
1661753731.485941,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661753731.486003,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661753731.513944,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661753731.513972,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661753808.510501,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661753808.510529,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661753808.543209,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661753808.543233,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661753891.809152,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661753891.809181,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661753891.825076,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661753891.8251,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661753951.004122,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661753951.023286,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661754192.449482,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661754192.449504,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661754192.462239,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661754192.462257,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661754278.322163,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661754278.322207,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661754278.33108,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661754278.331097,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661754342.82324,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661754342.823275,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661754342.834013,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,0,0,0,,
1661754342.834034,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661754369.056544,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661754443.537858,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661754750.013856,Minted,,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,1000000000000000000,,,,0x8dC378361093603ccD115e4a3c75fDA20fAe3F0d,
1661754750.013925,Staked,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,1000000,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,1000000000000000000,1000000000000000000,1000000,0,0x8dC378361093603ccD115e4a3c75fDA20fAe3F0d,
1661754750.03883,Minted,,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,1000000000000000000,,,,0x8dC378361093603ccD115e4a3c75fDA20fAe3F0d,
